SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
YAOGAN 26               ,40362U,14088A,20302.74564328,.00001357,00000-0,59345-4,0,9998,40362,97.2340,6.0944,0.0010895,32.3887,81.5271,15.23679431
ASTRA 2G                ,40364U,14089A,20302.78938328,.00000148,00000-0,00000+0,0,9996,40364,0.0479,42.5871,0.0000858,55.2898,252.1348,1.00274835 
FENGYUN 2G              ,40367U,14090A,20302.55385344,-.00000305,00000-0,00000+0,0,9996,40367,2.3965,92.7673,0.0002702,269.0931,334.6201,1.00278611 
MUOS-3                  ,40374U,15002A,20302.70893925,-.00000135,00000-0,00000+0,0,9995,40374,2.7171,350.9318,0.0058050,182.3232,104.0435,1.00271580 
SMAP                    ,40376U,15003A,20302.72079841,.00000035,00000-0,15902-4,0,9993,40376,98.1254,307.3006,0.0001199,76.5461,283.5869,14.63387125
FIREBIRD 3              ,40377U,15003B,20302.80484128,.00004021,00000-0,15459-3,0,9996,40377,99.0861,30.2553,0.0121668,228.2044,130.8742,15.20580887
FIREBIRD 4              ,40378U,15003C,20302.78751831,.00004076,00000-0,15644-3,0,9998,40378,99.0864,30.3429,0.0121870,228.1064,130.9722,15.20602103
GRIFEX                  ,40379U,15003D,20302.75561084,.00002529,00000-0,10807-3,0,9992,40379,99.0900,21.4160,0.0130806,256.0479,102.6173,15.16779691
EXOCUBE (CP10)          ,40380U,15003E,20302.80912674,.00001787,00000-0,81617-4,0,9998,40380,99.0959,16.7490,0.0135955,272.2316,86.3349,15.14671719
INMARSAT 5-F2           ,40384U,15005A,20302.48561520,-.00000289,00000-0,00000-0,0,9998,40384,0.0208,245.1581,0.0000375,324.0437,307.8978,1.00269077 
COSMOS 2503             ,40420U,15009A,20302.79048950,.00000477,00000-0,44777-4,0,9995,40420,97.9204,285.3637,0.0007693,279.9246,80.1084,14.98715474
ABS-3A                  ,40424U,15010A,20302.71138185,-.00000029,00000-0,00000+0,0,9993,40424,0.0205,270.8522,0.0000574,156.3742,223.4396,1.00269979 
EUTELSAT 115 WEST B     ,40425U,15010B,20302.47366387,-.00000029,00000-0,00000-0,0,9995,40425,0.0115,95.6222,0.0000295,249.1909,108.1095,1.00271110 
MMS 1                   ,40482U,15011A,20298.97081019,-.00000243,00000-0,00000-0,0,9992,40482,30.9625,119.4645,0.8525552,25.0712,102.9046,0.28491482 
MMS 2                   ,40483U,15011B,20298.97282407,-.00000243,00000-0,00000-0,0,9997,40483,30.9611,119.4745,0.8524896,25.0588,103.1230,0.28491516 
MMS 3                   ,40484U,15011C,20298.97370370,-.00000242,00000-0,00000-0,0,9994,40484,30.9672,119.4719,0.8529146,25.0437,103.3052,0.28513806 
MMS 4                   ,40485U,15011D,20298.97457176,-.00000243,00000-0,00000-0,0,9996,40485,30.9619,119.4748,0.8526230,25.0593,103.2972,0.28491480 
EXPRESS-AM7             ,40505U,15012A,20302.74493701,.00000148,00000-0,00000+0,0,9997,40505,0.0175,241.0799,0.0003028,343.3606,121.2490,1.00270905 
NAVSTAR 73 (USA 260)    ,40534U,15013A,20301.42507421,-.00000038,00000-0,00000-0,0,9999,40534,54.1289,289.4285,0.0051279,8.9380,351.1530,2.00560485 
KOMPSAT-3A              ,40536U,15014A,20302.74638778,.00000509,00000-0,33289-4,0,9999,40536,97.5520,240.7099,0.0003031,65.6463,22.0622,15.12124372
GSAT0203 (GALILEO 7)    ,40544U,15017A,20301.30138186,-.00000097,00000-0,00000-0,0,9994,40544,56.5036,37.7818,0.0004377,230.8142,129.1504,1.70475313 
GSAT0204 (GALILEO 8)    ,40545U,15017B,20301.66896947,-.00000097,00000-0,00000-0,0,9990,40545,56.5106,37.7880,0.0003587,195.3971,164.5956,1.70475374 
IRNSS-1D                ,40547U,15018A,20301.37019975,-.00000311,00000-0,00000+0,0,9997,40547,28.9945,275.1068,0.0019303,187.0359,179.1015,1.00270583 
BEIDOU 17               ,40549U,15019A,20302.57938514,-.00000149,00000-0,00000+0,0,9991,40549,52.8596,319.6695,0.0040510,193.8788,187.2790,1.00258031 
GONETS-M 11             ,40552U,15020A,20302.41346908,.00000038,00000-0,20438-3,0,9997,40552,82.4874,233.0777,0.0015519,167.8841,192.2615,12.42873487
GONETS-M 12             ,40553U,15020B,20302.78848364,.00000038,00000-0,20077-3,0,9990,40553,82.4899,233.3837,0.0014314,149.7513,210.4395,12.42896060
